Date,Brand,20 Days Moving NS,BW_Vol,BW_NVol
2020-04-02,Starbucks,-0.38848351455,9666,-1.8997985694318835
2020-04-01,Starbucks,-0.43609609684999995,5591,-1.983556688317027
2020-03-31,Starbucks,-0.44040507125,6024,-1.974656745868618
2020-03-30,Starbucks,-0.4729966278,7357,-1.9472580777768642
2020-03-29,Starbucks,-0.51209879635,6233,-1.9703609306914414
2020-03-28,Starbucks,-0.48917149470000004,6533,-1.9641946888103263
2020-03-27,Starbucks,-0.46530688610000004,7791,-1.9383375811888515
2020-03-26,Starbucks,-0.52230199815,9825,-1.8965304612348928
2020-03-25,Starbucks,-0.5322832980500001,10408,-1.8845473978459262
2020-03-24,Starbucks,-0.56462266775,12274,-1.8461933733453917
2020-03-23,Starbucks,-0.54517009725,10258,-1.8876305187864837
2020-03-22,Starbucks,-0.49065110289999997,17399,-1.7408534078763462
2020-03-21,Starbucks,-0.5980200689,15174,-1.7865863684946148
2020-03-20,Starbucks,-0.6849314989,11157,-1.8691523472827427
2020-03-19,Starbucks,-0.6600011320500001,23757,-1.6101701882759187
2020-03-18,Starbucks,-0.5154006028000001,41633,-1.2427443887198883
2020-03-17,Starbucks,-0.3102538225,18949,-1.7089944914905861
2020-03-16,Starbucks,-0.17632184010000002,13382,-1.8234193866644741
2020-03-15,Starbucks,-0.17530455220000002,13575,-1.8194524377209569
2020-03-14,Starbucks,-0.11319534085000002,6241,-1.9701964975746116
2020-03-13,Starbucks,-0.020552843900000006,8458,-1.9246279700731728
2020-03-12,Starbucks,0.03548796169999998,8341,-1.9270328044068075
2020-03-11,Starbucks,0.14377184714999997,9741,-1.8982570089616049
2020-03-10,Starbucks,0.2936829436,7157,-1.9513689056976076
2020-03-09,Starbucks,0.10520877270000002,6932,-1.9559935871084437
2020-03-08,Starbucks,-0.11461244290000001,5983,-1.9754994655923703
2020-03-07,Starbucks,-0.1728863111,9383,-1.9056153909397353
2020-03-06,Starbucks,-0.10408769415,10291,-1.8869522321795609
2020-03-05,Starbucks,-0.02651370820000002,12432,-1.8429458192880046
2020-03-04,Starbucks,0.14091767365000002,9124,-1.9109389130970977
2020-03-03,Starbucks,0.23326928304999991,9625,-1.900641289155636
2020-03-02,Starbucks,0.2948267505,8758,-1.918461728192058
